"Mês Ano";"Órgão Superior";"Órgão/Entidade Vinculada";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"01/2026";"52000 - Ministério da Defesa";"31280 - Caixa de Construções de Casas para o Pessoal da Marinha do Brasil";"6.656,44";"1.981,90";"1.779,83";"14.747.259,44";
"03/2026";"52000 - Ministério da Defesa";"52211 - Caixa de Financiamento Imobiliário da Aeronáutica";"380.468,34";"511.120,94";"326.362,84";"928.012,15";
"04/2026";"52000 - Ministério da Defesa";"52211 - Caixa de Financiamento Imobiliário da Aeronáutica";"0,00";"0,00";"103.547,33";"482.526,95";
"01/2026";"52000 - Ministério da Defesa";"52211 - Caixa de Financiamento Imobiliário da Aeronáutica";"2.007.843,06";"163.760,74";"6.981,46";"2.671.679,59";
"02/2026";"52000 - Ministério da Defesa";"52211 - Caixa de Financiamento Imobiliário da Aeronáutica";"92.004,34";"196.637,70";"177.474,78";"1.655.323,55";
"01/2026";"26000 - Ministério da Educação";"26256 - Centro Federal de Educação Tecnológica Celso Suckow da Fonseca";"540.137.178,97";"41.330.610,63";"316.148,54";"59.298.434,55";
"04/2026";"26000 - Ministério da Educação";"26256 - Centro Federal de Educação Tecnológica Celso Suckow da Fonseca";"16.500,00";"29.170,66";"28.323.052,08";"374.718,88";
"02/2026";"26000 - Ministério da Educação";"26256 - Centro Federal de Educação Tecnológica Celso Suckow da Fonseca";"28.504.871,36";"40.957.574,51";"37.289.473,15";"8.742.105,96";
"03/2026";"26000 - Ministério da Educação";"26256 - Centro Federal de Educação Tecnológica Celso Suckow da Fonseca";"8.335.879,71";"84.836.243,46";"87.461.613,77";"6.265.324,05";
"03/2026";"26000 - Ministério da Educação";"26257 - Centro Federal de Educação Tecnológica de Minas Gerais";"6.896.755,64";"62.185.222,31";"94.723.847,42";"2.180.400,27";
"04/2026";"26000 - Ministério da Educação";"26257 - Centro Federal de Educação Tecnológica de Minas Gerais";"900,00";"370.679,89";"32.109.734,43";"0,00";
"02/2026";"26000 - Ministério da Educação";"26257 - Centro Federal de Educação Tecnológica de Minas Gerais";"2.491.872,48";"46.433.482,99";"42.875.916,58";"10.215.019,99";
"01/2026";"26000 - Ministério da Educação";"26257 - Centro Federal de Educação Tecnológica de Minas Gerais";"613.200.397,22";"48.164.316,82";"321.246,49";"71.783.720,38";
"04/2026";"24000 - Ministério da Ciência, Tecnologia e Inovação";"24209 - Centro Nacional de Tecnologia Eletrônica Avançada S.A.";"259.948,93";"58.793,76";"1.621.922,83";"27.627,66";
"03/2026";"24000 - Ministério da Ciência, Tecnologia e Inovação";"24209 - Centro Nacional de Tecnologia Eletrônica Avançada S.A.";"3.961.552,57";"9.889.163,67";"6.896.687,93";"2.449.486,47";
"01/2026";"24000 - Ministério da Ciência, Tecnologia e Inovação";"24209 - Centro Nacional de Tecnologia Eletrônica Avançada S.A.";"38.173.309,98";"2.510.403,32";"473.585,26";"3.578.575,18";
"02/2026";"24000 - Ministério da Ciência, Tecnologia e Inovação";"24209 - Centro Nacional de Tecnologia Eletrônica Avançada S.A.";"2.238.265,11";"3.604.321,75";"3.761.873,89";"850.819,97";
"02/2026";"26000 - Ministério da Educação";"26201 - Colégio Pedro II";"4.961.777,27";"67.636.718,97";"68.827.952,15";"4.104.899,56";
"03/2026";"26000 - Ministério da Educação";"26201 - Colégio Pedro II";"6.794.862,29";"134.141.272,14";"118.386.871,66";"5.702.014,87";
"01/2026";"26000 - Ministério da Educação";"26201 - Colégio Pedro II";"736.249.952,32";"68.103.811,41";"522.534,62";"70.863.766,74";
"04/2026";"26000 - Ministério da Educação";"26201 - Colégio Pedro II";"103.125,20";"4.087,64";"49.240.266,74";"1.002.805,06";
"02/2026";"52000 - Ministério da Defesa";"52111 - Comando da Aeronáutica";"2.460.639.618,12";"2.022.170.470,14";"2.022.738.454,14";"416.852.353,27";
"04/2026";"52000 - Ministério da Defesa";"52111 - Comando da Aeronáutica";"30.503.548,43";"- 3.469.279,25";"1.393.188.035,76";"8.633.234,15";
"01/2026";"52000 - Ministério da Defesa";"52111 - Comando da Aeronáutica";"2.167.520.774,82";"1.955.020.565,45";"306.120.784,97";"1.708.099.243,29";
"03/2026";"52000 - Ministério da Defesa";"52111 - Comando da Aeronáutica";"5.095.881.829,32";"4.921.508.965,63";"3.440.309.979,47";"433.392.780,14";
"02/2026";"52000 - Ministério da Defesa";"52131 - Comando da Marinha";"326.189.330,60";"2.382.179.947,93";"2.394.957.751,64";"169.229.633,48";
"03/2026";"52000 - Ministério da Defesa";"52131 - Comando da Marinha";"962.721.094,47";"2.543.668.172,33";"4.373.323.660,62";"321.583.148,88";
"01/2026";"52000 - Ministério da Defesa";"52131 - Comando da Marinha";"29.915.966.784,85";"2.351.363.408,78";"625.629.824,19";"1.840.215.618,91";
"04/2026";"52000 - Ministério da Defesa";"52131 - Comando da Marinha";"40.272.842,06";"15.374.369,38";"1.694.018.933,19";"7.187.014,83";
"03/2026";"52000 - Ministério da Defesa";"52121 - Comando do Exército";"884.943.455,82";"8.751.398.150,50";"6.921.968.350,08";"370.958.079,35";
"04/2026";"52000 - Ministério da Defesa";"52121 - Comando do Exército";"16.752.544,51";"11.183.945,36";"3.337.190.805,60";"18.241.394,46";
"01/2026";"52000 - Ministério da Defesa";"52121 - Comando do Exército";"53.666.830.947,45";"4.249.297.826,05";"1.025.774.677,45";"3.234.990.797,63";
"02/2026";"52000 - Ministério da Defesa";"52121 - Comando do Exército";"585.047.026,08";"4.139.376.602,25";"4.279.653.664,52";"262.802.991,24";
"04/2026";"25000 - Ministério da Fazenda";"25203 - Comissão de Valores Mobiliários";"3.249,37";"93.108,82";"11.440.522,02";"130.436,08";
"03/2026";"25000 - Ministério da Fazenda";"25203 - Comissão de Valores Mobiliários";"4.398.728,28";"21.911.036,83";"32.075.402,87";"1.902.690,34";
"02/2026";"25000 - Ministério da Fazenda";"25203 - Comissão de Valores Mobiliários";"2.986.393,02";"19.890.378,24";"15.762.549,80";"5.054.082,11";
"01/2026";"25000 - Ministério da Fazenda";"25203 - Comissão de Valores Mobiliários";"248.326.943,58";"19.058.362,51";"169.893,17";"25.771.701,37";
"01/2026";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20301 - Comissão Nacional de Energia Nuclear";"836.319.887,26";"73.601.985,39";"299.346,81";"96.172.150,21";
"02/2026";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20301 - Comissão Nacional de Energia Nuclear";"36.315.801,64";"79.047.802,89";"78.523.478,12";"11.190.832,49";
"03/2026";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20301 - Comissão Nacional de Energia Nuclear";"181.160.274,95";"181.923.379,68";"138.098.598,07";"31.877.543,20";
"04/2026";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20301 - Comissão Nacional de Energia Nuclear";"304.172,86";"292.603,38";"52.401.331,70";"1.141.218,73";
"01/2026";"56000 - Ministério das Cidades";"29214 - Companhia Brasileira de Trens Urbanos";"108.411.550,09";"76.494.389,02";"30.311.462,17";"72.861.458,04";
"02/2026";"56000 - Ministério das Cidades";"29214 - Companhia Brasileira de Trens Urbanos";"166.592.411,34";"110.362.856,75";"104.203.855,03";"9.261.298,05";
"04/2026";"56000 - Ministério das Cidades";"29214 - Companhia Brasileira de Trens Urbanos";"19.315.933,45";"1.732.839,63";"29.857.399,43";"24.366,14";
"03/2026";"56000 - Ministério das Cidades";"29214 - Companhia Brasileira de Trens Urbanos";"162.787.285,47";"152.815.091,01";"153.864.781,64";"16.344.371,95";
"04/2026";"53000 - Ministério da Integração e do Desenvolvimento Regional";"22203 - Companhia de Desenvolvimento dos Vales do São Francisco e do Parnaíba";"328.481,26";"69.741,51";"33.197.713,18";"1.534.590,58";
"01/2026";"53000 - Ministério da Integração e do Desenvolvimento Regional";"22203 - Companhia de Desenvolvimento dos Vales do São Francisco e do Parnaíba";"755.155.551,55";"67.300.180,73";"17.952.609,53";"160.426.700,32";
"02/2026";"53000 - Ministério da Integração e do Desenvolvimento Regional";"22203 - Companhia de Desenvolvimento dos Vales do São Francisco e do Parnaíba";"18.389.753,28";"63.405.660,69";"65.403.238,70";"130.608.209,98";
"03/2026";"53000 - Ministério da Integração e do Desenvolvimento Regional";"22203 - Companhia de Desenvolvimento dos Vales do São Francisco e do Parnaíba";"173.163.517,04";"72.086.172,46";"104.878.712,48";"186.251.713,58";
"01/2026";"32000 - Ministério de Minas e Energia";"29208 - Companhia de Pesquisa de Recursos Minerais";"53.036.915,36";"29.321.789,22";"5.060.294,10";"42.918.858,03";
"04/2026";"32000 - Ministério de Minas e Energia";"29208 - Companhia de Pesquisa de Recursos Minerais";"- 471.087,55";"259.892,53";"20.806.927,87";"439.339,17";
"02/2026";"32000 - Ministério de Minas e Energia";"29208 - Companhia de Pesquisa de Recursos Minerais";"59.063.143,56";"56.119.049,24";"39.403.665,15";"5.449.982,38";
"03/2026";"32000 - Ministério de Minas e Energia";"29208 - Companhia de Pesquisa de Recursos Minerais";"87.244.881,53";"41.022.392,89";"82.545.677,21";"11.685.159,09";
"03/2026";"49000 - Ministério do Desenvolvimento Agrário e Agricultura Familiar";"22211 - Companhia Nacional de Abastecimento";"498.883.986,59";"180.762.282,73";"185.691.008,53";"328.064.829,35";
"01/2026";"49000 - Ministério do Desenvolvimento Agrário e Agricultura Familiar";"22211 - Companhia Nacional de Abastecimento";"631.117.967,57";"108.986.931,33";"18.911.407,76";"128.020.886,88";
"04/2026";"49000 - Ministério do Desenvolvimento Agrário e Agricultura Familiar";"22211 - Companhia Nacional de Abastecimento";"1.056.837,88";"9.457.532,38";"49.484.536,91";"566.062,43";
"02/2026";"49000 - Ministério do Desenvolvimento Agrário e Agricultura Familiar";"22211 - Companhia Nacional de Abastecimento";"130.042.164,54";"116.368.235,43";"112.755.920,39";"160.399.972,82";
"01/2026";"30000 - Ministério da Justiça e Segurança Pública";"30211 - Conselho Administrativo de Defesa Econômica";"19.597.625,65";"1.363.782,28";"36.366,53";"3.403.404,07";
"04/2026";"30000 - Ministério da Justiça e Segurança Pública";"30211 - Conselho Administrativo de Defesa Econômica";"4.500.520,53";"595.229,95";"1.590.518,41";"32.652,95";
"02/2026";"30000 - Ministério da Justiça e Segurança Pública";"30211 - Conselho Administrativo de Defesa Econômica";"- 5.267.692,02";"2.402.991,32";"2.337.416,72";"4.497.147,21";
"03/2026";"30000 - Ministério da Justiça e Segurança Pública";"30211 - Conselho Administrativo de Defesa Econômica";"3.820.172,12";"8.330.018,87";"6.554.446,03";"4.023.208,05";
"04/2026";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20501 - Conselho Nacional de Desenvolvimento Científico e Tecnológico";"36.806.681,07";"118.814.452,70";"15.827.852,24";"841.327,92";
"03/2026";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20501 - Conselho Nacional de Desenvolvimento Científico e Tecnológico";"358.698.864,14";"121.203.286,89";"317.146.837,09";"231.828.856,12";
"01/2026";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20501 - Conselho Nacional de Desenvolvimento Científico e Tecnológico";"298.350.083,79";"40.920.321,27";"24.317.265,61";"41.429.575,43";
"02/2026";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20501 - Conselho Nacional de Desenvolvimento Científico e Tecnológico";"445.967.222,55";"353.858.447,34";"142.288.468,16";"86.451.376,49";
"02/2026";"37000 - Controladoria-Geral da União";"37000 - Controladoria-Geral da União - Unidades com vínculo direto";"3.698.379,75";"106.663.739,20";"92.449.071,00";"24.526.872,66";
"03/2026";"37000 - Controladoria-Geral da União";"37000 - Controladoria-Geral da União - Unidades com vínculo direto";"12.222.885,35";"138.782.595,62";"188.605.791,77";"5.271.482,85";
"04/2026";"37000 - Controladoria-Geral da União";"37000 - Controladoria-Geral da União - Unidades com vínculo direto";"52.372,14";"369.363,04";"71.702.785,64";"0,00";
"01/2026";"37000 - Controladoria-Geral da União";"37000 - Controladoria-Geral da União - Unidades com vínculo direto";"1.511.145.787,97";"108.844.604,88";"180.196,78";"147.922.226,71";
"03/2026";"39000 - Ministério dos Transportes";"39252 - Departamento Nacional de Infraestrutura de Transportes";"5.704.177.108,18";"1.347.753.379,79";"789.450.775,61";"824.848.394,07";
"01/2026";"39000 - Ministério dos Transportes";"39252 - Departamento Nacional de Infraestrutura de Transportes";"531.644.232,84";"76.088.983,90";"944.183,21";"891.986.712,95";
"02/2026";"39000 - Ministério dos Transportes";"39252 - Departamento Nacional de Infraestrutura de Transportes";"1.324.266.170,55";"133.242.810,27";"117.225.903,31";"516.052.390,80";
"04/2026";"39000 - Ministério dos Transportes";"39252 - Departamento Nacional de Infraestrutura de Transportes";"619.121.008,98";"32.500.225,76";"54.209.459,59";"134.618,83";
"02/2026";"53000 - Ministério da Integração e do Desenvolvimento Regional";"22204 - Departamento Nacional de Obras Contra as Secas";"92.502.153,76";"53.014.435,07";"53.089.525,79";"10.457.928,86";
"04/2026";"53000 - Ministério da Integração e do Desenvolvimento Regional";"22204 - Departamento Nacional de Obras Contra as Secas";"0,00";"551.087,61";"47.484.358,87";"1.628.515,56";
"01/2026";"53000 - Ministério da Integração e do Desenvolvimento Regional";"22204 - Departamento Nacional de Obras Contra as Secas";"72.320.980,53";"52.967.103,31";"76.933,49";"76.151.251,54";
"03/2026";"53000 - Ministério da Integração e do Desenvolvimento Regional";"22204 - Departamento Nacional de Obras Contra as Secas";"92.954.663,43";"181.449.838,68";"124.532.885,62";"72.326.093,26";
"04/2026";"20000 - Presidência da República";"20415 - Empresa Brasil de Comunicação";"- 105.333,72";"511.687,56";"23.365.072,57";"33.565,77";
"01/2026";"20000 - Presidência da República";"20415 - Empresa Brasil de Comunicação";"467.925.674,76";"52.793.875,35";"7.705.772,85";"33.509.038,47";
"03/2026";"20000 - Presidência da República";"20415 - Empresa Brasil de Comunicação";"- 130.188.895,43";"80.213.224,81";"107.629.794,18";"2.110.077,70";
"02/2026";"20000 - Presidência da República";"20415 - Empresa Brasil de Comunicação";"21.961.283,09";"62.146.396,47";"51.414.693,97";"2.979.731,91";
"04/2026";"22000 - Ministério da Agricultura e Pecuária";"22202 - Empresa Brasileira de Pesquisa Agropecuária";"48.016,61";"783.638,08";"255.893.139,48";"685.103,44";
"03/2026";"22000 - Ministério da Agricultura e Pecuária";"22202 - Empresa Brasileira de Pesquisa Agropecuária";"76.078.922,51";"832.261.261,23";"581.907.333,30";"33.734.833,40";
"01/2026";"22000 - Ministério da Agricultura e Pecuária";"22202 - Empresa Brasileira de Pesquisa Agropecuária";"4.187.725.110,01";"359.999.376,56";"6.484.047,13";"381.557.867,08";
"02/2026";"22000 - Ministério da Agricultura e Pecuária";"22202 - Empresa Brasileira de Pesquisa Agropecuária";"24.550.268,55";"404.102.622,30";"354.704.396,10";"43.913.941,98";
"03/2026";"26000 - Ministério da Educação";"26443 - Empresa Brasileira de Serviços Hospitalares";"808.283.965,59";"1.339.885.856,74";"1.590.301.523,51";"212.286.867,62";
"01/2026";"26000 - Ministério da Educação";"26443 - Empresa Brasileira de Serviços Hospitalares";"8.403.110.598,76";"982.115.854,12";"209.327.831,27";"1.146.346.217,22";
"04/2026";"26000 - Ministério da Educação";"26443 - Empresa Brasileira de Serviços Hospitalares";"72.078.799,59";"3.476.570,59";"456.600.729,38";"5.805.190,37";
"02/2026";"26000 - Ministério da Educação";"26443 - Empresa Brasileira de Serviços Hospitalares";"217.160.689,28";"839.146.354,33";"711.972.257,12";"451.480.696,78";
"03/2026";"32000 - Ministério de Minas e Energia";"32314 - Empresa de Pesquisa Energética";"4.002.287,33";"35.901.966,69";"23.233.191,52";"598.642,59";
"04/2026";"32000 - Ministério de Minas e Energia";"32314 - Empresa de Pesquisa Energética";"1,37";"60.574,57";"5.184.910,70";"56.490,00";
