"Mês Ano";"Programa Orçamentário";"Ação Orçamentária";"Órgão/Entidade Vinculada";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"05/2019";"2122 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA CIDADANIA";"20TP - ATIVOS CIVIS DA UNIAO";"20203 - Agência Nacional do Cinema";"0,00";"6.039.816,51";"5.893.764,61";
"05/2019";"2122 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA CIDADANIA";"4572 - CAPACITACAO DE SERVIDORES PUBLICOS FEDERAIS EM PROCESSO DE QUALIFICACAO E REQUALIFICACAO";"20203 - Agência Nacional do Cinema";"23.130,00";"73.643,88";"73.643,88";
"05/2019";"2122 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA CIDADANIA";"2004 - ASSISTENCIA MEDICA E ODONTOLOGICA AOS SERVIDORES CIVIS, EMPREGADOS, MILITARES E SEUS DEPENDENTES";"20203 - Agência Nacional do Cinema";"0,00";"46.889,81";"48.046,87";
"05/2019";"2122 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA CIDADANIA";"212B - BENEFICIOS OBRIGATORIOS AOS SERVIDORES CIVIS, EMPREGADOS, MILITARES E SEUS DEPENDENTES";"20203 - Agência Nacional do Cinema";"0,00";"190.669,23";"190.153,70";
"05/2019";"2122 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA CIDADANIA";"216H - AJUDA DE CUSTO PARA MORADIA OU AUXILIO-MORADIA A AGENTES PUBLICOS";"20203 - Agência Nacional do Cinema";"41.988,80";"22.055,76";"23.892,86";
"05/2019";"2107 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA CULTURA";"2000 - ADMINISTRACAO DA UNIDADE";"20203 - Agência Nacional do Cinema";"0,00";"0,00";"0,00";
"05/2019";"2122 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA CIDADANIA";"09HB - CONTRIBUICAO DA UNIAO, DE SUAS AUTARQUIAS E FUNDACOES PARA O CUSTEIO DO REGIME DE PREVIDENCIA DOS SERVIDORES PUBLICOS FEDERAIS";"20203 - Agência Nacional do Cinema";"0,00";"894.860,64";"894.860,64";
"05/2019";"0089 - PREVIDENCIA DE INATIVOS E PENSIONISTAS DA UNIAO";"0181 - APOSENTADORIAS E PENSOES CIVIS DA UNIAO";"20203 - Agência Nacional do Cinema";"0,00";"50.386,15";"43.079,20";
"05/2019";"2027 - CULTURA: DIMENSAO ESSENCIAL DO DESENVOLVIMENTO";"20ZI - FOMENTO AO SETOR AUDIOVISUAL (MEDIDA PROVISORIA N. 2.228-1/2001)";"20203 - Agência Nacional do Cinema";"164.997,00";"160.425,00";"146.625,00";
"06/2019";"2122 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA CIDADANIA";"20TP - ATIVOS CIVIS DA UNIAO";"20203 - Agência Nacional do Cinema";"0,00";"7.774.074,32";"6.027.729,53";
"06/2019";"2122 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA CIDADANIA";"2000 - ADMINISTRACAO DA UNIDADE";"20203 - Agência Nacional do Cinema";"5.485.572,13";"2.489.043,97";"3.332.136,41";
